state,structure,status,requested_seed,final_seed,seed_retried,partition_mode,audit_result,audit_population_pass,manifest_population_balance_valid,native_manifest_consistent,units,districts,edge_cut,edge_cut_ratio_to_standard,canonical_assignment_sha256
RI,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,250,2,51203.430218,1.0,fa87db3370a789b0ebc5fe5ef892f1f0f99b7560efde54c54532d037be853132
RI,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,250,2,51203.430218,1.0,fa87db3370a789b0ebc5fe5ef892f1f0f99b7560efde54c54532d037be853132
RI,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,250,2,51203.430218,1.0,fa87db3370a789b0ebc5fe5ef892f1f0f99b7560efde54c54532d037be853132
RI,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,250,2,63417.389565,1.238537912304,7a8fd400731ce0777893274cadc016e5e0a75243e53e22ee29b96bd7f40d4620
NE,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,553,3,468979.819684,1.0,0d7ce0e6591bc4d83aec7374f268583f6c81a9f2e056de71b346e17c79e9e54b
NE,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,553,3,468979.819684,1.0,0d7ce0e6591bc4d83aec7374f268583f6c81a9f2e056de71b346e17c79e9e54b
NE,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,553,3,2142995.27903,4.569482926736,20b758a5ca6f277a4570a18979eabc6b6d713fd3804318d27dba17c33376c4f6
NE,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,553,3,514677.479526,1.097440567641,d829e3b29185a88bb829ece618ab9913573ca6b10139f37155ee2b32fe9b27fa
CT,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,883,5,433833.201493,1.0,7387a23998c760177c419d9fb32c294dcc4c5045eb113bdb12236bc118793f0e
CT,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,883,5,442812.773053,1.02069821196,59eca329905cb4199655865eaf7f1e4daa9656172312f8d9b4721fcbaf77f16d
CT,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,883,5,425718.943118,0.981296363794,672a397fc2ef9e5b9e757be9943a365fab08cbcb9e1175b567a2863fe03101fe
CT,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,883,5,480035.518019,1.106497880676,fe265a1c3a28418b5d2d9432e7ee2cd431cc95dea981f1f311de0846b9cdf299
KY,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1306,6,1235246.079909,1.0,22601e81c2a3c1d32d65bd118555e3b401f6be5d7710e89011a978258d925349
KY,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1306,6,1252939.162945,1.014323528991,96d6ae689ec5b0f25b11c770ba49e07a6f6290568baf3dbeb3d1e3914714791c
KY,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1306,6,1341873.467095,1.08632076549,9ff3568cd41d31c0b139c2266e276873c697063081f95d8a579deea166d92546
KY,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1306,6,1436498.790961,1.162925197113,7b10881f47e96271bbea77c4a4eef93f416a2651318d2537b59e9c1fa455c88a
SC,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1323,7,1515102.451269,1.0,4f0524844fb78654c90abd986e347cedaba80da129fc9658df6e071c9b297eff
SC,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1323,7,1515102.451269,1.0,4f0524844fb78654c90abd986e347cedaba80da129fc9658df6e071c9b297eff
SC,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1323,7,1624133.80058,1.071963020863,00597869dc3409e7f7eb7558de79af1199a202fbe78dffb60767c8006b83e795
SC,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1323,7,1429357.531414,0.943406520276,d6350ba970aee7a420ac219a326ccd17d0c0196524a393286b68fcc3e84ca7f1
WI,standard-bisect,pass,0,2,True,edge-weighted,pass,True,True,True,1542,8,1788455.67959,1.0,f65b89540de3c4821e81482dfab5d9172331f37d3c229a5102152a7c9afc89bb
WI,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1542,8,1891450.774877,1.057588844086,5cb7408215b1fd718e1a1bce77caa06fcfd570582a1ae53477a323a48fe73219
WI,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1542,8,2151309.53729,1.202886692604,7f7b8c256944391bd70d15ae5f570453163ed7fa426e2eeb87599b42395b8119
WI,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1542,8,2002747.787057,1.119819635405,f90c1681a0c2d5853df5457a3ed2bf2ec80fece833eac169e126bdfec4024206
AZ,standard-bisect,fail,0,0,False,edge-weighted,fail,True,True,True,1765,9,2110074.931103,1.0,f9d3aef2985d21e5a583a93f010863efdc99a4cef861580645c09a52c929a505
AZ,ratio-optimal,fail,0,0,False,geosection,fail,True,True,True,1765,9,1923691.048218,0.91166954304,6f0d99dc8355a2be364e3f6a9e29b8be4b069949587fc8bf61eb1379fc3cf214
AZ,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1765,9,2169511.666766,1.02816806872,ee13fe98255cc6ed987784ab9da397eb98ba28c39ed4af301d3b96bf2fccde18
AZ,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1765,9,2125757.741494,1.007432347619,d4186e3fe06cd30928abea352b4c1495c7224d537988f85cdfc80c0c31f6ef6a
CA,standard-bisect,fail,,,,,,,,,,,,,
CA,ratio-optimal,fail,,,,,,,,,,,,,
CA,ratio-optimal-area,fail,0,0,False,areasection,fail,True,True,True,9129,52,7717445.173132,,afb64f6c6b954cf328dffc68341c57e246f275ceb3bc9ef048635c4811ce0368
CA,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,9129,52,8431517.316719,,0b1469b2432c899e6f7550ff82d30b3687b032045a735517b8cda30744f5988e
