state,left,right,matched_units,different_units,matched_unit_rate
RI,standard-bisect,ratio-optimal,250,0,1.0
RI,standard-bisect,ratio-optimal-area,250,0,1.0
RI,standard-bisect,prime-factor,244,6,0.976
RI,ratio-optimal,ratio-optimal-area,250,0,1.0
RI,ratio-optimal,prime-factor,244,6,0.976
RI,ratio-optimal-area,prime-factor,244,6,0.976
NE,standard-bisect,ratio-optimal,553,0,1.0
NE,standard-bisect,ratio-optimal-area,357,196,0.6455696202531646
NE,standard-bisect,prime-factor,530,23,0.9584086799276673
NE,ratio-optimal,ratio-optimal-area,357,196,0.6455696202531646
NE,ratio-optimal,prime-factor,530,23,0.9584086799276673
NE,ratio-optimal-area,prime-factor,356,197,0.64376130198915
CT,standard-bisect,ratio-optimal,615,268,0.6964892412231031
CT,standard-bisect,ratio-optimal-area,583,300,0.6602491506228766
CT,standard-bisect,prime-factor,751,132,0.8505096262740657
CT,ratio-optimal,ratio-optimal-area,740,143,0.8380520951302378
CT,ratio-optimal,prime-factor,624,259,0.7066817667044167
CT,ratio-optimal-area,prime-factor,580,303,0.6568516421291053
KY,standard-bisect,ratio-optimal,1051,255,0.8047473200612557
KY,standard-bisect,ratio-optimal-area,974,332,0.7457886676875957
KY,standard-bisect,prime-factor,934,372,0.7151607963246555
KY,ratio-optimal,ratio-optimal-area,1054,252,0.8070444104134763
KY,ratio-optimal,prime-factor,922,384,0.7059724349157733
KY,ratio-optimal-area,prime-factor,936,370,0.7166921898928025
SC,standard-bisect,ratio-optimal,1323,0,1.0
SC,standard-bisect,ratio-optimal-area,932,391,0.7044595616024187
SC,standard-bisect,prime-factor,723,600,0.546485260770975
SC,ratio-optimal,ratio-optimal-area,932,391,0.7044595616024187
SC,ratio-optimal,prime-factor,723,600,0.546485260770975
SC,ratio-optimal-area,prime-factor,730,593,0.5517762660619804
WI,standard-bisect,ratio-optimal,837,705,0.5428015564202334
WI,standard-bisect,ratio-optimal-area,995,547,0.64526588845655
WI,standard-bisect,prime-factor,1022,520,0.6627756160830091
WI,ratio-optimal,ratio-optimal-area,980,562,0.6355382619974059
WI,ratio-optimal,prime-factor,833,709,0.540207522697795
WI,ratio-optimal-area,prime-factor,891,651,0.5778210116731517
AZ,standard-bisect,ratio-optimal,1014,751,0.5745042492917847
AZ,standard-bisect,ratio-optimal-area,914,851,0.5178470254957507
AZ,standard-bisect,prime-factor,1054,711,0.5971671388101983
AZ,ratio-optimal,ratio-optimal-area,1223,542,0.6929178470254957
AZ,ratio-optimal,prime-factor,1188,577,0.6730878186968838
AZ,ratio-optimal-area,prime-factor,971,794,0.5501416430594901
CA,ratio-optimal-area,prime-factor,4789,4340,0.5245919596889035
