state,left,right,matched_units,different_units,matched_unit_rate
RI,standard-bisect,ratio-optimal,250,0,1.0
RI,standard-bisect,ratio-optimal-area,250,0,1.0
RI,standard-bisect,prime-factor,247,3,0.988
RI,ratio-optimal,ratio-optimal-area,250,0,1.0
RI,ratio-optimal,prime-factor,247,3,0.988
RI,ratio-optimal-area,prime-factor,247,3,0.988
NE,standard-bisect,ratio-optimal,553,0,1.0
NE,standard-bisect,ratio-optimal-area,357,196,0.6455696202531646
NE,standard-bisect,prime-factor,529,24,0.9566003616636528
NE,ratio-optimal,ratio-optimal-area,357,196,0.6455696202531646
NE,ratio-optimal,prime-factor,529,24,0.9566003616636528
NE,ratio-optimal-area,prime-factor,355,198,0.6419529837251357
CT,standard-bisect,ratio-optimal,466,417,0.5277463193657984
CT,standard-bisect,ratio-optimal-area,525,358,0.594563986409966
CT,standard-bisect,prime-factor,676,207,0.7655719139297849
CT,ratio-optimal,ratio-optimal-area,571,312,0.6466591166477916
CT,ratio-optimal,prime-factor,539,344,0.6104190260475651
CT,ratio-optimal-area,prime-factor,576,307,0.652321630804077
KY,standard-bisect,ratio-optimal,1096,210,0.8392036753445635
KY,standard-bisect,ratio-optimal-area,1035,271,0.7924961715160797
KY,standard-bisect,prime-factor,836,470,0.6401225114854517
KY,ratio-optimal,ratio-optimal-area,1042,264,0.7978560490045942
KY,ratio-optimal,prime-factor,926,380,0.7090352220520674
KY,ratio-optimal-area,prime-factor,936,370,0.7166921898928025
SC,standard-bisect,ratio-optimal,1323,0,1.0
SC,standard-bisect,ratio-optimal-area,816,507,0.6167800453514739
SC,standard-bisect,prime-factor,863,460,0.6523053665910808
SC,ratio-optimal,ratio-optimal-area,816,507,0.6167800453514739
SC,ratio-optimal,prime-factor,863,460,0.6523053665910808
SC,ratio-optimal-area,prime-factor,794,529,0.600151171579743
WI,standard-bisect,ratio-optimal,938,604,0.6083009079118028
WI,standard-bisect,ratio-optimal-area,1015,527,0.6582360570687419
WI,standard-bisect,prime-factor,1185,357,0.7684824902723736
WI,ratio-optimal,ratio-optimal-area,1001,541,0.6491569390402075
WI,ratio-optimal,prime-factor,816,726,0.5291828793774319
WI,ratio-optimal-area,prime-factor,897,645,0.5817120622568094
AZ,standard-bisect,ratio-optimal,1031,734,0.5841359773371105
AZ,standard-bisect,ratio-optimal-area,897,868,0.5082152974504249
AZ,standard-bisect,prime-factor,1070,695,0.6062322946175638
AZ,ratio-optimal,ratio-optimal-area,1185,580,0.6713881019830028
AZ,ratio-optimal,prime-factor,1208,557,0.6844192634560906
AZ,ratio-optimal-area,prime-factor,1102,663,0.6243626062322947
CA,standard-bisect,ratio-optimal,5350,3779,0.5860444736553839
CA,standard-bisect,ratio-optimal-area,4974,4155,0.5448570489648373
CA,standard-bisect,prime-factor,4867,4262,0.5331361594917297
CA,ratio-optimal,ratio-optimal-area,5595,3534,0.6128820243181071
CA,ratio-optimal,prime-factor,4479,4650,0.49063424252382515
CA,ratio-optimal-area,prime-factor,4968,4161,0.5441998028261584
