diagnostic_index,seed_digest_sha256,seed_u64_little_endian,engine_seed,status,exit_code,failure,discovery_sha256,assignment_sha256,assignment_offset,assignment_bytes,matched_units,matched_unit_rate,max_population_deviation_scaled,total_population_deviation_scaled,weighted_boundary_cut,population_tolerance_pass,benchmark_assignment_reproduction
1,7f9bb041f050d14ab89ba34fb65d4b70d2fbabccd83651d6e8d4897bc1cdf25e,5391179221763660671,1465072992,accepted,0,,ebac075caebf272c761e49c1e44f0d5853ac7483b65b8b6d7fc37519be1803ae,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,0,13402,107215,1.0,4,8,1633545912,true,true
2,f75d73905afcd619c2839b4bbc43dabdb8c0b65516778c0a53b37d1678829fd2,1861952961865014775,1143035564,accepted,0,,83700ea9eeb0430c30e2443f3e6769c51909561095969910711695d8958dbf48,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,13402,13402,107215,1.0,4,8,1633545912,true,true
3,7cd81feef6a584e5784d8b5db0b0995839766af3fc1e0689b308067048600d97,16538526211586906236,958997613,accepted,0,,ffe674744bd58cc942827501be2442c4005ce9ed6dfd93cbf0dbc321a45cec1f,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,26804,13402,107215,1.0,4,8,1633545912,true,true
4,3de30ee9280e165b1796a2c4ef8378c5f57f020d46516bd471a033d1704ed62f,6563449075810624317,523960208,accepted,0,,8209d91df901a03c8357e7ab54b6f9c59f4320e687f10e0e6fedf161f2c1ece7,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,40206,13402,107215,1.0,4,8,1633545912,true,true
5,8dc76e562c44bd24391a4a4cc9da161fe51f55e714f85329e4473f0cbe437187,2647347113183070093,535384038,accepted,0,,d6f9e73dc0900f24a09c4d17442a5857c890b2ce541a0cd315be31529bf37124,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,53608,13402,107215,1.0,4,8,1633545912,true,true
6,e13e37d9e1cd17b95d10cdb1f3c870bd09c6c721a90e9e35520e91af18c50685,13337355191376625377,1265031847,accepted,0,,51b5d20c47358901ee26b743fd1dfa962abff55c97172a6914f44b0999b8e9e2,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,67010,13402,107215,1.0,4,8,1633545912,true,true
7,0b0ed914e9d2892858e10e8094b4bb66274808f2e33005bc2e153d00a168b911,2921097731845459467,1710011357,accepted,0,,0646d7a3c2be4d0db846cd0013e93a74d376fca6abf547ba2d701ce7bfca15cc,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,80412,13402,107215,1.0,4,8,1633545912,true,true
8,b0f24d0a6883fe7dc704dc534356bb37e50e108c685165a2545f53c807a2aa54,9078838381698216624,105576834,accepted,0,,7888350e4db55b4832c90e84b82c85c1df94ccfa979ba92fe582b1beb02df1c0,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,93814,13402,107215,1.0,4,8,1633545912,true,true
9,39c4d9fa9637faebda55da8375debfaa1c072826b35da8c3144ca29f5ec10068,17003964464683926585,1389245290,accepted,0,,cfa9d96f1e9c90ba50cc955af8ad47e96ddd375770d9dba408e0699cec81332b,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,107216,13402,107215,1.0,4,8,1633545912,true,true
10,0296a366150f78960126efeb60aa81e6d648487fb87e6fa9f2674b0fe3c9d909,10842432687485195778,328447023,accepted,0,,1b4e56a2e2778f52d77e0084569884888f19d2fc9f9ec4dcdc9b71aca0c70449,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,120618,13402,107215,1.0,4,8,1633545912,true,true
11,89c38cd6955dfa67a32ec4b2059c14a2e435f97a9de3dce45f46481e3858d6f8,7492403828215301001,646020790,accepted,0,,edcdf381fc79726a2a71fbb0d1649bb6c5af0e0819cd027b2f46a87d7772a9e3,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,134020,13402,107215,1.0,4,8,1633545912,true,true
12,5e2e180235c79cc01be0d62a4534a9b5e76de03edadc6f850889ebf448dd119e,13879187182131359326,55688395,accepted,0,,447bea5dee06e484e540259a558fad4764da66cf4bcd79a7ad4b76574feaab9a,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,147422,13402,107215,1.0,4,8,1633545912,true,true
13,b5bd6b29da9b7976e36794dc3e8f7a140168c01e49c51a652e474efcb5cf75b1,8537025929957588405,375321963,accepted,0,,4a904f3659dd98fa27bd2d07afd938878e452ed1424a9b419bf383a930c06a22,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,160824,13402,107215,1.0,4,8,1633545912,true,true
14,ad43ca484ea5026a697b0bac317d708202c461bbd36ae2cac08d180c0cdb32e0,7638849673621029805,483364427,accepted,0,,60b4c3a9be6df8bdba0d84c6178c2d06ab5cab08a2ac4d63f7571be59f349773,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,174226,13402,107215,1.0,4,8,1633545912,true,true
15,8c4af4da73e4c84e01e6373d01be79f31de0ed45e65f5dc233973d2ac9d82382,5677038516546325132,2022052724,accepted,0,,50cc85278cfdc17ccebf7c4941c611f54b95ae1a71d74c78d9bff3e05ccdeaf6,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,187628,13402,107215,1.0,4,8,1633545912,true,true
16,851cee58d7bf944c7e8bc85d9cf2c1ed9acad956e25bb4b0ca6a08ea3d2063d1,5518246375066573957,1914149940,accepted,0,,35bf3222722083647c54b3a48cccaa775d5a85f90e55032c3036e9910c1aca61,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,201030,13402,107215,1.0,4,8,1633545912,true,true
17,634707c4c1cb4dff76a294537a4b5bdfe929aa79b5099fb9606057912a06e131,18396584085956282211,1117970154,accepted,0,,eaf43d072a863a7288f76ffbd443f64d9f859cd8e6f5ed5eb80058225f6faf82,ee9d5895fd53adfffb48aef694b51bf2b737e18a85bcdf1c8ae4cc33c3157a07,214432,13402,107215,1.0,4,8,1633545912,true,true
