state,plan_family,district,block_count,area_m2,perimeter_m,minimum_bounding_radius_m,polsby_popper,reock,convex_hull_ratio,schwartzberg,component_count,interior_ring_count
AK,NRS-v0.3,1,19615,1500375687618.2966,99238601.26161928,1830439.3758600885,0.0019144702120143166,0.14254088345900634,0.3479001358824896,22.854708860544587,851,1134
AK,enacted-congressional-session-118,0,19615,1500375687618.2966,99238601.26161928,1830439.3758600885,0.0019144702120143166,0.14254088345900634,0.3479001358824896,22.854708860544587,851,1134
AL,NRS-v0.3,1,22610,12303080460.068617,3500192.0741252163,153040.2307720957,0.012619436834522907,0.16720635042555987,0.41486545148990994,8.901844690462745,12,143
AL,NRS-v0.3,2,29563,16851627263.080276,5842977.017688541,139254.56787211457,0.0062027367879462685,0.27661330897804787,0.7003720119646053,12.697210624287818,19,229
AL,NRS-v0.3,3,27317,19579991408.479412,5756566.474414297,143400.87686967396,0.007424980420559311,0.3030812084936368,0.587041896662007,11.605192364947223,16,189
AL,NRS-v0.3,4,23991,3349604531.3152514,1619199.7725989076,47788.49032828609,0.016054712435071436,0.46687115294641,0.7009275271397334,7.892211849845295,8,139
AL,NRS-v0.3,5,35251,48588706132.86341,7357818.872144988,193694.158444614,0.01127838753602797,0.4122421698202261,0.651241337895666,9.416217757631356,22,257
AL,NRS-v0.3,6,20155,13351359567.000986,4872282.812368749,146507.63710346541,0.007067574221805908,0.19799539582313083,0.5268521629268968,11.895009986418817,31,152
AL,NRS-v0.3,7,21092,18433546803.08234,3656995.2670078627,135545.37326880166,0.017320880820411964,0.31936670495150715,0.7834989681615128,7.598275097894923,11,152
AL,enacted-congressional-session-118,1,19541,14997594065.562635,4221590.01842334,111803.69559677664,0.010574975013888337,0.3819085696601057,0.6384995631061682,9.724344254644267,33,142
AL,enacted-congressional-session-118,2,26166,27109651022.419155,3003815.23101103,131514.40039607655,0.037756120274497165,0.4989160046439113,0.7548231781783072,5.146432956936103,14,122
AL,enacted-congressional-session-118,3,27407,21660912367.012535,4882815.667617919,139159.69309303435,0.011416840940363599,0.35604094749668574,0.7603080660033525,9.35894779498339,16,238
AL,enacted-congressional-session-118,4,33899,23092633401.775047,5599657.973974285,143685.02690118027,0.009254656901818458,0.3560414501125015,0.6036519411912068,10.394888580128843,13,217
AL,enacted-congressional-session-118,5,21123,8877309773.719763,2425793.792608927,97097.86267675931,0.01895760534904495,0.2997175415085161,0.7798150568507273,7.262869837455637,14,161
AL,enacted-congressional-session-118,6,21438,8388718915.914759,2437535.244888235,92957.45144287206,0.017742045906633447,0.3090134288321852,0.6800101275693927,7.507548572484709,11,240
AL,enacted-congressional-session-118,7,30405,28331096619.486668,4840525.879762159,145909.45282563876,0.015194560979115902,0.4235909324632701,0.6744836922784171,8.11252263969631,14,170
AR,NRS-v0.3,1,30540,28458094784.381943,7263185.611671811,224226.7181306798,0.0067789339128552254,0.18016948116032033,0.4406865868413081,12.145609114210187,37,309
AR,NRS-v0.3,2,29679,32728594250.27917,6175062.06398444,207554.16886520287,0.01078585461797436,0.24183243986166855,0.6346453250918771,9.628812257575708,14,544
AR,NRS-v0.3,3,24485,16522430637.844603,5182346.031903772,149503.00136462034,0.007730916549205447,0.23530125401100385,0.6733638394136858,11.37324794891821,10,358
AR,NRS-v0.3,4,45540,58735261733.57259,9376685.350791322,200977.9875241582,0.008394794836947037,0.462862556148234,0.7349697480756122,10.914276618524445,36,809
AR,enacted-congressional-session-118,1,43615,52211270071.094696,9692754.364937503,223335.03919667742,0.006983605655128321,0.3331966718113843,0.67566716068061,11.966307148101336,47,674
AR,enacted-congressional-session-118,2,21487,13900848574.528149,2757101.367630623,95247.85270490243,0.02297977166918353,0.4877317777408337,0.7559429718564221,6.596706249374688,16,194
AR,enacted-congressional-session-118,3,18221,10885936264.135483,2316473.659600777,89672.54754966414,0.025492998403390053,0.4309202454345031,0.8246461347474149,6.26310280751652,11,277
AR,enacted-congressional-session-118,4,46921,59446326496.31965,8746372.633358281,199376.15890946714,0.009765150342370278,0.4760238363726036,0.7899826907720061,10.119534445215999,38,938
AZ,NRS-v0.3,1,42865,175718170493.6746,6156427.564564384,305256.931669091,0.05825979993613718,0.6002549237350377,0.8844498596954392,4.143005458922816,2,201
AZ,NRS-v0.3,2,19378,20189405088.298737,2555753.1567431837,179660.7167744632,0.03884146251512294,0.1990982273121373,0.4778981287226895,5.074020445837031,11,26
AZ,NRS-v0.3,3,10404,1019814866.9829121,320182.0294073261,24936.563751615067,0.1250078531930518,0.5220333525829824,0.7297192114354014,2.8283382801954744,1,8
AZ,NRS-v0.3,4,8258,540400588.9666363,311613.5810910257,20932.061864832645,0.06993473330698127,0.39259243043363534,0.6938032657143107,3.7814079983048825,1,7
AZ,NRS-v0.3,5,14548,24142417639.792492,3041742.1512808604,177939.6120630812,0.03279033324127916,0.24270884693992498,0.5016869329401049,5.522390138298582,4,74
AZ,NRS-v0.3,6,9501,506633987.2307153,438747.46518285817,27226.588437415663,0.03307310304938342,0.21754945271450332,0.5230346301298963,5.498731678933893,3,13
AZ,NRS-v0.3,7,11475,6526105513.247223,1962372.4618786033,152926.14139048816,0.02129614884937998,0.0888261333011471,0.38351726713969225,6.852506610670952,1,9
AZ,NRS-v0.3,8,13248,11269593078.069181,1736316.9774558102,100916.66134907735,0.046974273860386634,0.35223508603057585,0.6036730725369411,4.613918961108493,3,12
AZ,NRS-v0.3,9,24532,54951510026.77876,2927138.5746083804,289609.5185122695,0.0805940404660486,0.20854707123473565,0.6787763339370804,3.522479996217878,9,42
AZ,enacted-congressional-session-118,1,11994,4154017080.751068,691504.3497628012,54435.72450893869,0.10916622923925207,0.44622139567866204,0.8361462155394795,3.026605697595108,3,31
AZ,enacted-congressional-session-118,2,40848,151307443503.67117,4974093.051959688,275497.63092059083,0.07684973008765006,0.6345629092346794,0.8412105930993182,3.6072714682702554,1,188
AZ,enacted-congressional-session-118,3,9004,533862145.5124671,148558.58402824015,18401.60454698835,0.3039789348472152,0.5018429967959982,0.8299936432816419,1.8137534668141528,1,8
AZ,enacted-congressional-session-118,4,9446,464162047.70863,210880.7479553937,24622.25385221551,0.13116127353143678,0.2437048351079662,0.6472950307475394,2.761195694745401,2,12
AZ,enacted-congressional-session-118,5,11474,1050452537.5872315,232815.2727114657,24823.27298318955,0.24353611023003738,0.5426358408134807,0.7304939281269061,2.026367994694475,2,9
AZ,enacted-congressional-session-118,6,18322,35490150807.797356,2016257.4091772025,168635.23716780887,0.10970483187335829,0.39724763158053383,0.7002140374072384,3.019166902441583,1,82
AZ,enacted-congressional-session-118,7,16881,39938604304.44095,1804170.2724582027,260471.19027734752,0.15418698019646865,0.1873801671238575,0.6871763026614681,2.5466903850560314,1,20
AZ,enacted-congressional-session-118,8,10433,1496815808.1937733,283920.8709889228,31053.161211816692,0.23333698822219834,0.4940908969774425,0.7585100504105184,2.0701804646344204,1,9
AZ,enacted-congressional-session-118,9,25807,60428543047.37603,2682520.172184987,261805.25624516216,0.10552758378992315,0.28063092482359264,0.6221248188564101,3.0783429570642302,14,51
CA,NRS-v0.3,1,19303,43778928280.67127,8590487.796853265,272869.51518064644,0.007454857379264803,0.18715662912031866,0.384522012689224,11.581913854704815,501,353
CA,NRS-v0.3,2,21989,36472403805.343346,5249593.71072125,205385.50204497587,0.016631172421702974,0.27521680383043234,0.5165178027278919,7.754228007247912,29,252
CA,NRS-v0.3,3,16487,17309368021.8058,2837242.6217061942,134156.4536574716,0.027020795160513474,0.30613162736132277,0.6951226185044393,6.083463930432955,8,88
CA,NRS-v0.3,4,8327,516000884.8890718,452777.38742651884,23911.229295464327,0.03162939260195734,0.2872742936444127,0.5513949128936991,5.622825089338616,4,3
CA,NRS-v0.3,5,17005,26300505219.98576,4926178.896442159,202780.73308852778,0.013619262680845214,0.20359206197487592,0.5396717801182249,8.5688630487038,12,159
CA,NRS-v0.3,6,14351,9056338261.18521,2408397.3809469966,86718.71526226358,0.01962032544895442,0.38333378058728845,0.6336013750838876,7.139156404101373,4,89
CA,NRS-v0.3,7,9773,2791753798.831626,1422626.6918895596,55159.143885335354,0.01733425073032936,0.29207353645116185,0.5204457474788472,7.595344257344513,6,64
CA,NRS-v0.3,8,7465,603745323.8229237,410769.48918549076,22579.5852915832,0.0449642432053723,0.37693979061777166,0.6458335746861771,4.715919204190019,2,7
CA,NRS-v0.3,9,5723,366159977.81465423,512884.02332725516,47426.39342528606,0.017492117891301517,0.05181801842313277,0.13244922101601134,7.560992410933936,20,5
CA,NRS-v0.3,10,6564,378772757.4570026,362056.6522951869,21937.143530391913,0.03631077653288444,0.25053517512104695,0.5590357599294399,5.247859891558839,14,9
CA,NRS-v0.3,11,6452,487705106.2677977,351369.05822362006,21660.05579335844,0.04964095609307432,0.33089353959994167,0.5629483580942086,4.488279884565121,4,4
CA,NRS-v0.3,12,6096,368624952.18501556,326969.5330194581,26009.005246358523,0.043329135007461446,0.17345521914980458,0.5048577839434656,4.804077339968709,1,2
CA,NRS-v0.3,13,8340,1062416516.8214854,589646.090893127,34757.646675155185,0.03839916940597461,0.2799266281256448,0.5595418422486222,5.1031588218939765,2,2
CA,NRS-v0.3,14,13747,24746567435.830265,4246240.437118743,153091.61460288402,0.01724708355792434,0.33609518252164444,0.6046132193041006,7.614513592980381,3,195
CA,NRS-v0.3,15,12168,6766061810.004015,1638994.8207850703,83429.26633283758,0.03165123515064245,0.3094206109144279,0.5966779527449814,5.620884595918759,3,29
CA,NRS-v0.3,16,9426,1787167459.2841816,766832.4675474606,42399.053966863845,0.03819215174015138,0.31644850086441395,0.6600797857011502,5.11697077346888,3,13
