state,projection,retained_blocks,districts,nrs_polsby_popper,comparator_polsby_popper,nrs_reock,comparator_reock,nrs_convex_hull_ratio,comparator_convex_hull_ratio,nrs_schwartzberg,comparator_schwartzberg
AK,EPSG:3338,19615,1,0.0019144702120143166,0.0019144702120143166,0.14254088345900634,0.14254088345900634,0.3479001358824896,0.3479001358824896,22.854708860544587,22.854708860544587
AL,EPSG:5070,179979,7,0.011138387008049394,0.017270972195051696,0.3061966130626455,0.37503269638816794,0.6235427651771902,0.698798803596796,10.000851767355455,8.215364948047037
AR,EPSG:5070,130244,4,0.008422624979245518,0.016305381517518047,0.2800414327953067,0.43196813283983115,0.6209163748556208,0.7615597395141133,11.015486484807138,8.736412662552135
AZ,EPSG:5070,154209,9,0.05630797204641899,0.16304985133528221,0.31376061380940884,0.4142575109040237,0.608506522472395,0.7392405133478356,4.648533285387778,2.6610638923684062
CA,EPSG:5070,511819,52,0.036149763863267674,0.08998051892759894,0.2329183624985762,0.3379091740413267,0.5343604975092757,0.6566164700694175,5.70921855377198,3.8541841493227156
CO,EPSG:5070,139052,8,0.042861424872415496,0.15583436302201206,0.34224316598856924,0.39905515407618425,0.6130009927034734,0.7584505735240082,5.444884384893686,2.9259115084096567
CT,EPSG:5070,48358,5,0.015665905937804085,0.03814883669122859,0.26883977762021616,0.42281044826638653,0.5120102476346298,0.7157433376931388,8.238539856740587,5.215462212774373
DE,EPSG:5070,19591,1,0.02126818236154983,0.02126818236154983,0.24567107937618,0.24567107937618,0.7239707937221329,0.7239707937221329,6.857010464871431,6.857010464871431
FL,EPSG:5070,375513,28,0.014772907765141941,0.032450084688791916,0.22560377493324477,0.3902214331103181,0.500540028518344,0.7236900624840212,9.928632606878157,7.32639597403899
GA,EPSG:5070,226723,14,0.02291611532032734,0.051539308140262086,0.2765851399790407,0.435132871194354,0.5579429899421802,0.7592183541284655,7.766496878246322,5.377718677440131
HI,EPSG:3759,13783,2,0.05978464644498213,0.059838138665532725,0.05894171761851787,0.15863233185663606,0.19866633138886483,0.34464292315060185,4.208748211852539,4.200207992783129
IA,EPSG:5070,172136,4,0.026895851831846347,0.04647450041790345,0.28647957639666577,0.44876602536282534,0.6717649220982788,0.7399327337201405,6.1666704542924355,4.81558546779708
ID,EPSG:5070,78652,2,0.013351475831996066,0.020389429333302594,0.19551029106486129,0.3912122396151124,0.5444484661052069,0.7692464580658671,8.683452606684478,7.037367730154758
IL,EPSG:5070,363324,17,0.0405007078481304,0.04435359323250837,0.26820894136838985,0.2876968767031983,0.5891675827889763,0.5631398726778719,5.9083685046101975,5.119726925336655
IN,EPSG:5070,200959,9,0.025750922802002283,0.08378945088178467,0.2411564689128728,0.46447596199579483,0.5913022494540701,0.8274539623909437,6.462495977449837,4.178130388539301
KS,EPSG:5070,169319,4,0.02093821596494816,0.049795758064887514,0.16477029094682794,0.3873551934593999,0.572308542781505,0.7754463299163324,6.963438930698934,5.211904202706782
KY,EPSG:5070,125853,6,0.006908948884579519,0.019877982132020116,0.2586766146164261,0.37953607154242514,0.5337393352638403,0.6857806353461086,12.724086578484686,9.672976971774611
