census_year,state,level,geoid,district_count,district_labels,split,source_block_count
2000,AK,county,02013,1,1,false,188
2000,AK,county,02016,1,1,false,273
2000,AK,county,02020,1,1,false,3540
2000,AK,county,02050,1,1,false,1054
2000,AK,county,02060,1,1,false,98
2000,AK,county,02068,1,1,false,227
2000,AK,county,02070,1,1,false,315
2000,AK,county,02090,1,1,false,2608
2000,AK,county,02100,1,1,false,161
2000,AK,county,02110,1,1,false,611
2000,AK,county,02122,1,1,false,2313
2000,AK,county,02130,1,1,false,371
2000,AK,county,02150,1,1,false,418
2000,AK,county,02164,1,1,false,383
2000,AK,county,02170,1,1,false,2415
2000,AK,county,02180,1,1,false,763
2000,AK,county,02185,1,1,false,466
2000,AK,county,02188,1,1,false,448
2000,AK,county,02201,1,1,false,547
2000,AK,county,02220,1,1,false,255
2000,AK,county,02232,1,1,false,417
2000,AK,county,02240,1,1,false,672
2000,AK,county,02261,1,1,false,1083
2000,AK,county,02270,1,1,false,402
2000,AK,county,02280,1,1,false,312
2000,AK,county,02282,1,1,false,119
2000,AK,county,02290,1,1,false,1415
2000,AK,tract,02013000100,1,1,false,188
2000,AK,tract,02016000100,1,1,false,211
2000,AK,tract,02016000200,1,1,false,62
2000,AK,tract,02020000101,1,1,false,143
2000,AK,tract,02020000102,1,1,false,118
2000,AK,tract,02020000201,1,1,false,47
2000,AK,tract,02020000202,1,1,false,79
2000,AK,tract,02020000203,1,1,false,96
2000,AK,tract,02020000204,1,1,false,72
2000,AK,tract,02020000300,1,1,false,27
2000,AK,tract,02020000400,1,1,false,23
2000,AK,tract,02020000500,1,1,false,52
2000,AK,tract,02020000600,1,1,false,94
2000,AK,tract,02020000701,1,1,false,39
2000,AK,tract,02020000702,1,1,false,34
2000,AK,tract,02020000703,1,1,false,67
2000,AK,tract,02020000801,1,1,false,62
2000,AK,tract,02020000802,1,1,false,30
2000,AK,tract,02020000901,1,1,false,92
2000,AK,tract,02020000902,1,1,false,25
2000,AK,tract,02020001000,1,1,false,84
2000,AK,tract,02020001100,1,1,false,85
2000,AK,tract,02020001200,1,1,false,89
2000,AK,tract,02020001300,1,1,false,42
2000,AK,tract,02020001400,1,1,false,67
2000,AK,tract,02020001500,1,1,false,71
2000,AK,tract,02020001601,1,1,false,71
2000,AK,tract,02020001602,1,1,false,62
